,BTCUSDT_BTCUSDT,BTCUSDT_ETHUSDT,BTCUSDT_ADAUSDT,ETHUSDT_BTCUSDT,ETHUSDT_ETHUSDT,ETHUSDT_ADAUSDT,ADAUSDT_BTCUSDT,ADAUSDT_ETHUSDT,ADAUSDT_ADAUSDT
2019-02-13,49.391975891100884,43.98397967380527,-13.729765470687244,43.88603976348053,11.736885326055223,-38.1189360683551,-13.713148368902221,-38.19217645162997,-102.66191810556093
2019-02-14,49.72786176918231,44.21071510574456,-13.397021791010333,44.14667612653266,12.050855436285488,-37.916604927166766,-13.413917485165928,-37.91497752507185,-102.65210360506158
2019-02-15,50.89467285702787,44.22499926989967,-13.33876624100227,44.22922382641275,11.591098904138676,-37.65198028792984,-13.268728231208696,-37.67720305177707,-102.81212971448765
2019-02-16,49.98384133789659,44.360249335312574,-13.377449365827179,44.27031750168825,11.978790200815272,-37.61786851053047,-13.32815943436065,-37.616039414205446,-102.20821589661483
2019-02-17,51.769980059099666,44.54052503038612,-12.978863557628015,44.56180689219932,13.630042823218595,-37.301519495535956,-12.989561060507356,-37.22037578847542,-101.27157459512847
2019-02-18,53.80593287107327,44.936162942096786,-12.32206874912666,44.967541968971474,13.907828121125355,-36.38596096059224,-12.327636234669345,-36.313257174244264,-98.10803810581038
2019-02-19,53.42122371628051,44.829194074280544,-12.69519924596954,44.784578270987566,13.6035648213444,-36.71199643699322,-12.697821171891428,-36.65374000089773,-100.72713382808543
2019-02-20,53.58417350514662,44.51742992725217,-13.107868322694316,44.501507088181974,12.276657121581524,-37.304642402541745,-13.126417627422208,-37.22370860285853,-101.98651549979284
2019-02-21,52.42846930731873,44.53525241951146,-13.36017541267491,44.45696931001727,13.717286178944487,-37.43883280464987,-13.422877679693952,-37.55837266182182,-103.45219043181
2019-02-22,53.5027771009614,44.43775927831492,-13.630924293380133,44.581690540081716,12.993429409632324,-37.83574942776807,-13.625953819632436,-37.550114929424325,-102.52637605670068
2019-02-23,53.207925060321735,44.373270750671246,-13.761381480580827,44.36394732650423,10.826454653581504,-37.95149471840616,-13.688701448998678,-37.82230797125422,-103.39551133615439
2019-02-24,48.23767431924803,44.321413481958146,-13.864070378006094,44.245527908076554,11.69656906195251,-38.15688352697874,-13.916317927892038,-38.17028229838379,-105.32678452151652
2019-02-25,45.229599541544346,43.635965882011284,-14.844409851154781,43.66352809616144,10.111478426538664,-39.25547045646,-14.857193189681512,-39.298567400395065,-107.37933878526796
2019-02-26,47.27387171738806,43.501631106420554,-14.782386619433012,43.522046263866464,8.58088557876906,-39.205020808642594,-14.870821214217958,-39.26265175941945,-107.79892531528704
2019-02-27,49.54627018926956,43.743266436087765,-14.504569976401779,43.74839371809737,8.696120667841406,-38.998211488905426,-14.480639269393265,-39.00409697948519,-107.60866934782362
2019-02-28,50.25076599790813,43.49176529013783,-14.465485744122343,43.467869359821194,9.308054053211759,-39.30040738186622,-14.48512548499896,-39.275404327341064,-108.02093851096517
2019-03-01,50.24015877676029,43.428241165647314,-14.419552855573713,43.4743694357475,8.038279789010112,-39.04606545777053,-14.473514966129475,-39.098812725986996,-106.74051213358352
2019-03-02,49.59308507574023,43.65147813463934,-14.156076935551614,43.60422793259586,8.027057627018245,-38.70232723123584,-14.159706663710887,-38.68758845927428,-105.87098006287994
2019-03-03,51.57454600492272,43.66359998166506,-13.789631744820435,43.656009350037564,7.46832239534729,-38.448930176210325,-13.764902768463957,-38.50458589468667,-103.19817566653191
2019-03-04,49.67033140019928,43.65625113197221,-13.560167594998333,43.61158893050745,9.134821140522295,-38.211229330180515,-13.552898801814003,-38.11175454816093,-101.73442225069888
2019-03-05,50.24119522996013,43.49884244516078,-13.183507651470666,43.48908627116636,7.832250654486483,-37.8960593548567,-13.177159199496623,-37.90081578247366,-100.5647165592463
2019-03-13,50.180163336217525,42.9135444242506,-13.35836386184006,43.007349998668325,3.4900784121684083,-38.10838350728356,-13.371609846408761,-38.378502343530926,-101.28020646337315
2019-03-14,50.41378959288845,42.92182733437914,-13.204215043673011,42.98367898835337,2.3742720300985205,-38.186995624085554,-13.195317683240997,-38.12338088978134,-100.08380974587203
2019-03-15,52.42833251689238,43.15234198902221,-12.602541253638853,43.16508906952108,3.1811599699038524,-37.514242095067175,-12.607669666800504,-37.34530926669461,-98.12514923901746
2019-03-16,49.5154375071109,42.996994152961506,-12.518586061855455,42.951838992366675,3.3066259439893955,-37.36526294491566,-12.425243774390495,-37.32331115950056,-96.3784572379961
2019-03-17,48.337747635224986,42.59218908220285,-11.978614813094433,42.612677936449344,2.7947471316553347,-36.887477821783804,-11.987336154878182,-36.77135160293411,-94.82914707340099
2019-03-18,45.25660202907636,42.56201339981464,-11.770029783505633,42.60485670976444,1.699496347599112,-36.6294713955013,-11.76693779115714,-36.41857570603668,-94.03581115914021
2019-03-19,47.50141926611485,42.60789785174347,-11.451717709702585,42.521082080016384,1.3464879038584314,-36.375590102026166,-11.452478448751883,-36.39409266934465,-92.84699419012631
2019-03-20,45.70236442283523,42.61580361250919,-11.077815763927898,42.587539241564315,1.000023101635044,-36.14547294234288,-11.077396999950878,-36.13962841539103,-92.22081430545784
2019-03-21,48.33806604550143,42.73965900044079,-10.61320184464789,42.73596670225641,3.94599553678605,-35.73242377118093,-10.611625050704102,-35.73242377118093,-91.48310625464086
2019-03-22,43.690405860434716,42.523237141744424,-10.824176865887852,42.53843154535455,3.366560748935072,-36.07789722307139,-10.73058264180741,-36.07621517608926,-91.60505489820693
2019-03-23,44.8745747408627,42.80597584540824,-10.955143315362598,42.71463792652759,5.290755935177689,-35.94345279169438,-10.956846779462369,-35.942100324269504,-91.7557615474368
2019-03-24,46.725651443802356,42.96915386561379,-10.784513569915763,42.88595096788856,5.698959702286416,-35.78709356223513,-10.781280401136925,-35.854946753516465,-92.0938641554218
2019-03-25,47.323540512175946,42.93951979030162,-11.288745017329816,43.013444492599575,5.192802569072718,-36.35387777995832,-11.304835820970803,-36.35800561748251,-92.27654571978029
2019-03-26,47.168780576487784,42.72657305736904,-11.426299561936137,42.70121231890931,4.700955081506628,-36.48609431935296,-11.416616384239203,-36.50309768511394,-94.3886139516767
2019-03-27,48.82545484352461,43.87951718082098,-10.598686811939034,43.835270291644036,7.279565849272025,-35.736733983543346,-10.593072980384719,-35.69271420264984,-92.0860008649326
2019-03-28,51.4693394085794,44.89783796014884,-9.421042897103833,44.86877170660414,9.119007836274395,-34.46816267629161,-9.453835543101777,-34.39730060305894,-90.79306607459738
2019-03-29,56.983278544879006,45.374633809778345,-8.328008666776785,45.53234341148463,13.096902380864357,-33.304487442928846,-8.282507116197507,-33.06878359831848,-88.6639134714131
2019-03-30,58.110640184715116,45.71877697907178,-8.097026280524222,45.709980271937624,14.424466225508686,-32.87128131995751,-8.094261345311796,-32.38953085651303,-88.19414271965488
2019-03-31,59.68105398547521,45.959184485742846,-8.243539154041141,45.952011540867815,15.152912248092875,-32.08733532621869,-8.241685207193736,-31.893288227961744,-88.1408204595017
2019-04-01,61.912020096050995,46.19282513547359,-8.015335010570563,46.225119647135145,15.792664542276963,-32.43794097159872,-8.027457902578305,-32.22109186869845,-87.13939539431345
2019-04-02,64.07109467095704,46.829814802309315,-7.2593301364189164,46.85163596203982,19.477670637352237,-31.36456909200258,-7.1957823354512165,-31.14859093360203,-86.46406287303907
2019-04-03,62.42243447900758,46.801819911106946,-7.36484780207819,46.800927839053315,18.75730019821539,-31.23917615646085,-7.396129149918806,-31.529246459079676,-86.73211902057925
2019-04-04,60.23062299034727,46.0311527235902,-8.629963793525901,46.14277220840463,16.241184234192175,-32.93041404418541,-8.671047838076273,-32.64027843487861,-88.23993854568158
2019-04-05,59.864368260298775,46.04869877655082,-8.881333268980695,46.06638474478642,18.010733128196243,-32.41483770541585,-8.883413478609974,-32.264496601004794,-89.15901896393632
2019-04-06,59.79834822997545,46.04836357935797,-8.960462566587893,46.01664239025974,17.107332707265044,-32.62169979229987,-8.933960168312181,-32.50076286177378,-88.83519461013485
2019-04-07,58.82005261737088,45.56064902576,-8.720765999553432,45.63867783877606,15.046659642989223,-32.96197485008863,-8.688206266670814,-32.92820617863251,-89.08272828289228
2019-04-08,59.57351841534955,45.37962269308676,-8.729618222629806,45.37150405454561,13.321510460222058,-33.13339998194936,-8.810473846506676,-32.68914402686897,-89.38284524615788
2019-04-09,57.95171156630286,44.86345171673798,-9.748866910845347,44.832424777157726,13.149766764522674,-33.987289742576266,-9.631030766622537,-34.19114806879064,-90.6766105662861
2019-04-10,57.752230596888815,44.81089918975374,-10.243840199470032,44.770861624114715,13.547955203399372,-34.66893692578107,-10.182643831081013,-34.71758004401594,-92.5052428112198
2019-04-11,54.08289771592743,44.40874865584397,-10.724550961988605,44.41281693135111,12.23141416653249,-35.288545082644475,-10.63673418369325,-35.22094056290832,-92.08447726923374
2019-04-12,52.737712235893866,43.96982531324567,-11.772267307587434,44.012658051147895,11.064632807802745,-36.106638002855604,-11.73485981298916,-36.26450872217634,-95.99759994686204
2019-04-13,51.649375728861244,43.760303934989246,-12.199921933943067,43.7796541390322,10.485600707039762,-36.52367365195493,-12.16935826392992,-36.64371327977647,-95.56308952944781
2019-04-14,51.27605836716869,43.73626562845195,-12.268392279461022,43.726714295761234,9.785492168806648,-36.74756057875899,-12.175120566283946,-36.7221347576255,-95.85711747245853
2019-04-15,52.16998825835574,43.75135626991196,-12.081643032661983,43.73295773438884,10.500346282052664,-36.51006624038344,-12.133075917509604,-36.532282131934956,-95.55711870555024
2019-04-16,51.31370714042434,43.81698611738172,-11.82052577013475,43.835071314218034,10.279085263275345,-36.49056044218719,-11.826556263114142,-36.48737016754505,-94.9571781051344
2019-04-17,54.89447137111351,43.96203987783185,-11.295845442941484,43.86987070099689,9.147861582980767,-36.287290503114015,-11.369652620826125,-36.33305740193789,-94.30012659677324
2019-04-18,56.841057496239074,44.31712953552276,-10.712459880952556,44.29762286732628,9.442200104065746,-35.71609887662829,-10.667124530442003,-35.70293034599633,-93.41430793569401
2019-04-19,57.9117807736729,44.479379633133235,-9.897435377560875,44.47170286717109,11.026630656300181,-35.05356928616842,-9.809388070761466,-35.06081595358613,-91.27818390604551
2019-04-20,59.04502905785787,44.706822174845605,-9.232155053641097,44.69780702884578,12.471003520781714,-34.57103691118964,-9.22101887730791,-34.549524619220605,-90.5309375803705
2019-04-21,59.96202715125429,44.845018104698774,-9.13226153967347,44.81128793682366,13.025103101472233,-34.183307249889,-9.22396957012343,-34.17478976064043,-89.46996488710786
2019-04-22,58.66980068299071,44.654614796574144,-9.46786674456242,44.71367322260172,11.367420185675918,-34.32767053186256,-9.544256104918237,-34.48366996516848,-90.71849897732713
2019-04-23,57.3796299792206,44.772168402079615,-9.827937750471445,44.69145120174517,13.776091734303712,-34.64912231903987,-9.820927166864825,-34.64840635508543,-91.1309944793525
2019-04-24,56.81552558266962,44.68534116240183,-9.94987157831925,44.55352454892538,10.698832691105784,-34.925387415938005,-9.873098186173063,-34.84573160050828,-91.42396398122558
2019-04-25,52.853418075633954,44.23183128418187,-10.798658521367585,44.195186364455715,9.496853010048874,-35.571375893370956,-10.721012899728077,-35.56129269425676,-92.67825457314072
2019-04-26,52.90318713967244,43.89684188321167,-11.270998495760598,43.872892397117134,7.876096867218447,-36.172542800161565,-11.221576655149676,-36.230676964928065,-93.86280861950613
2019-04-27,54.13054283005124,43.99642294387575,-11.472314946063818,43.93802563584962,7.783743812736073,-36.49211509916256,-11.476145709273336,-36.492391606673515,-94.3549736405069
2019-04-28,57.380560655625075,44.34219484544019,-11.197041247989237,44.308648404035644,8.96746671315968,-36.28945674723113,-11.216575210874538,-36.45022197017504,-93.85284559639841
2019-04-29,58.3920932077098,44.501608763676415,-11.112707231470152,44.40834304614694,9.09718421395683,-36.19270588844603,-11.133582720615824,-36.42635892022139,-93.24108559677931
2019-04-30,58.83648871365619,44.65314969496548,-11.125055854972068,44.70250158376729,12.502003858086258,-35.96271975003268,-11.108179228884762,-35.97801545761488,-94.34840509008953
2019-05-01,58.01026334320271,44.99553810871531,-11.118534008111688,44.97677455271608,12.62907452040464,-35.98689321358182,-11.080616080440429,-36.04768292083865,-96.73155299259923
2019-05-02,58.63691173265313,45.100783885100064,-11.166907248064074,45.08529906968226,12.974846716957128,-35.95566909728091,-11.113086493316558,-36.015505302559916,-97.06723251996257
2019-05-03,59.47039097315032,45.33003946367262,-10.79297852753004,45.35829914694228,15.704587379555512,-35.550186147146505,-10.733375929730851,-35.47822408394312,-95.84353431211507
2019-05-04,61.199053437090484,45.5412013474981,-10.61998562968706,45.57569926717168,13.95086422226425,-35.22893254889838,-10.6542451673243,-35.17333016651955,-94.16345672078437
2019-05-05,60.70718121165655,46.14117860756045,-10.226078668775866,46.12897474156988,16.319026477291196,-34.541117865027104,-10.297039337758815,-34.55117496452655,-93.54559162730858
2019-05-06,65.1838446293709,47.28427183496993,-8.858559146622953,47.221514405839415,19.021613174555743,-33.31293836870078,-8.921712502015215,-33.32002602752386,-92.32341390553512
2019-05-07,66.74078821149587,47.92458726292827,-8.14391884269128,48.038359641559325,20.440955482058836,-32.673842530076925,-8.233877928478064,-32.5845427664035,-90.82378810909316
2019-05-08,68.97297147884419,48.78739562709828,-7.010083049917651,48.71879501387943,21.086172339883394,-31.78113904356496,-6.995759771257087,-31.49999939897167,-88.49409557252514
2019-05-16,70.78911760842789,51.024018572431444,-5.036742764348439,51.03467364129827,26.199965059453483,-28.339481978165537,-4.914568123899309,-28.125125305846925,-85.13271473164988
2019-05-17,70.59645139712384,50.339637997959066,-5.825343964378315,50.34536068617318,24.592963058946616,-29.600093062007566,-6.213820910894988,-29.62450284589102,-87.05352319158908
2019-05-18,68.52910417408107,49.20419149474957,-6.846925592326458,49.237437948476305,23.163980646304882,-30.748921538043287,-6.92609974264312,-31.067213990983905,-88.37285890085508
2019-05-19,68.0629625353709,48.718462573395406,-7.373089648878009,48.78732168930925,22.141692097342236,-31.7214851156973,-7.394830317644963,-31.744902814861486,-88.92656215821064
